References,Qty,Description,Manufacturer1,MPN1,Manufacturer2,MPN2,LCSC
Y1,1,8MHz Crystal SMD 3225,KDS Daishinku,1C208000CE0Q,Abracon,ASVMB-8.000MHZ-LY-T,C133366
U5,1,CAT24C32,onsemi,CAT24C32WI-GT3,,,C81193
"U3, U4",2,,Texas Instruments,ULN2003ADR,,,C7512
U2,1,MCP1700-3302E,Microchip,MCP1700T-3302E/TT,,,C39051
U1,1,ATMEGA32U4-AU,Microchip,ATMEGA32U4-AU,,,C44854
"RV1, RV2",2,Varistor 0603,Ruilon,RL0603E005M015K,,,C20956
"R5, R8, R20",3,resistor 10K 0603,Uniroyal,0603WAF1002T5E,Vishay,CRCW060310K0FKEA,C25804
"R3, R4",2,resistor 22 0603,Ever Ohms,QR0603F220RP05Z,Vishay,CRCW060322R0FKEA,C176129
"R6, R7, R11, R13",4,resistor 10K 0603,Uniroyal,0603WAF1002T5E,Vishay,CRCW060310K0FKEA,C25804
"R9, R10, R12, R16",4,resistor 47K 0603,Vishay,CRCW060347K0FKEA,Uniroyal,0603WAF4702T5E,C25819
"R21, R22",2,resistor 3.9K 0603,Uniroyal,0603WAF3901T5E,Vishay,CRCW06033K90FKEA,C23018
"R14, R15, R17, R18",4,resistor 1K 0805,Uniroyal,0805W8F1001T5E,Vishay,CRCW08051K00FKEA,C17513
"R1, R2",2,resistor 1.5K 0805,Uniroyal,0805W8F1501T5E,TE Connectivity,CPF-A-0805B1K5E1,C4310
"Q3, Q4, Q6, Q8",4,DMG2305UX,Diodes Inc.,DMG2305UX-13,,,C144153
"Q1, Q2, Q5, Q7",4,DMMT5401,Diodes Inc.,DMMT5401-7,,,C154733
"L1, L2",2,ferrite bead 0805,TDK,MPZ2012S601A,,,C1017
"J10, J11, J12",1,B5B-XH-A,JST,B5B-XH-A,,,C161872
"J1, J2",2,USB Micro-B,Molex,105017-0001,,,C136000
F2,1,3A Polyfuse 1210,Littelfuse,1210L300SLWR,,,C315895
"F1, F3, F4, F5",4,1A Polyfuse 1206,Littelfuse,1206L050/15YR,,,C369154
D5,1,led YELLOW 0805,Kingbright,APHCM2012CGCK-F01,,,C2296
D4,1,led GREEN 0805,Kingbright,APT2012SGC,,,C2297
D3,1,led BLUE 0805,Kingbright,APHCM2012QBC/D-F01,,,C2293
D2,1,led RED 0805,Kingbright,APHCM2012SURCK-F01,,,C84256
D1,1,CD1206-S01575,Bourns,CD1206-S01575,,,C75465
"C8, C9, C14, C15",4,capacitor 1uF 0805,Samsung,CL21B105KBFNNNE,,,C28323
"C2, C3",2,capacitor 22pF 0805,Samsung,CL21C220JBANNNC,,,C1804
"C12, C11, C5, C4",4,capacitor 10uF 0805,Samsung,CL21A106KAYNNNE,,,C15850
"C1, C6, C7, C10, C13",5,capacitor 100nF 0805,Yageo,CC0805KRX7R9BB104,,,C49678
