Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,28.76,39.49,270,top
C2,22pF,C_0805_2012Metric,10.17,31.41,180,top
C3,22pF,C_0805_2012Metric,10.17,37.34,180,top
C4,10uF,C_0805_2012Metric,7.29,49.88,180,top
C5,10uF,C_0805_2012Metric,13.62,14.78,180,top
C6,100n,C_0805_2012Metric,6.8075,46,0,top
C7,100n,C_0805_2012Metric,18.542,14.9075,270,top
C8,1uF,C_0805_2012Metric,27.6,43.77,270,top
C9,1uF,C_0805_2012Metric,17.1425,26.74,0,top
C10,100n,C_0805_2012Metric,24.1925,14.56,180,top
C11,10uF,C_0805_2012Metric,9.0825,16.69,180,top
C12,10uF,C_0805_2012Metric,6.55,20.03,180,top
C13,100nf,C_0805_2012Metric,10.0725,22.45,180,top
C14,1uF,C_0805_2012Metric,40.2825,38.83,0,top
C15,1uF,C_0805_2012Metric,40.2825,27.45,0,top
D1,CD1206-SO1575,D_SOD-123F,11.7575,40,0,top
D2,RED_3V3,LED_0805_2012Metric,-0.87,14.5975,90,top
D3,BLUE_MTR,LED_0805_2012Metric,35.97,8.6825,90,top
D4,GREEN,LED_0805_2012Metric,4.5775,32.925,0,top
D5,YELLOW,LED_0805_2012Metric,4.5775,36.815,0,top
F1,0A5_1A_Polyfuse,R_1206_3216Metric,6.98,53.49,180,top
F2,1A25_3A_Polyfuse,R_1206_3216Metric,17.41,8.86,90,top
F3,0A5_1A_Polyfuse,R_1206_3216Metric,60.03,40.18,270,top
F4,0A5_1A_Polyfuse,R_1206_3216Metric,60.03,31.465,90,top
F5,0A5_1A_Polyfuse,R_1206_3216Metric,60.03,22.75,270,top
J1,USB_Data,USB_Micro-B_Molex-105017-0001,0.0575,50.35,270,top
J2,USB_Supply,USB_Micro-B_Molex-105017-0001,8.18,9.0575,0,top
L1,Ferrite_Bead,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1.27,44.38,180,top
L2,Ferrite_Bead,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,14.28,8.405,90,top
Q1,DMMT5401,SOT-23-6,26.04,9.65,0,top
Q2,DMMT5401,SOT-23-6,23.6,22.22,90,top
Q3,DMG2305UX,SOT-23,22.2,9.66,90,top
Q4,DMG2305UX,SOT-23,23.57,18.29,180,top
Q5,DMMT5401,SOT-23-6,18.09,20.51,0,top
Q6,DMG2305UX,SOT-23,14.23,20.54,90,top
Q7,DMMT5401,SOT-23-6,31.52,11.49,270,top
Q8,DMG2305UX,SOT-23,31.53,15.38,0,top
R1,1.5K,R_0805_2012Metric,11.88,26.5325,90,top
R2,1.5K,R_0805_2012Metric,14.17,26.5325,90,top
R3,22,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,20.353333,44.29,90,top
R4,22,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,22.466666,44.29,90,top
R5,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,12.2775,42.4,0,top
R6,22,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,26.29,12.43,180,top
R7,22,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,26.54,22.465,270,top
R8,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,26.6275,27.41,0,top
R9,22,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,22.275,12.43,180,top
R10,22,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,26.54,18.285,90,top
R11,22,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,18.345,23.36,180,top
R12,22,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,14.125,23.37,180,top
R13,22,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,31.55,8.66,0,top
R14,1K,R_0805_2012Metric,-0.86,21.5825,270,top
R15,1K,R_0805_2012Metric,34.86,12.5275,270,top
R16,22,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,34.88,16.225,90,top
R17,1K,R_0805_2012Metric,4.5075,27.55,180,top
R18,1K,R_0805_2012Metric,4.4725,42.24,180,top
R19,DNP,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,31.496,47.981,270,top
R20,10K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,31.496,52.101,270,top
R21,3.9K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,39.006,47.991,90,top
R22,3.9K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,38.996,51.621,90,top
RV1,Varistor,R_0603_1608Metric,18.46,44.49,270,top
RV2,Varistor,R_0603_1608Metric,24.36,44.49,270,top
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,20.78,35.14,180,top
U2,MCP1700-3302E_SOT23,SOT-23,10,19.35,90,top
U3,ULN2003ADR,SOIC-16_3.9x9.9mm_P1.27mm,34.57,34.015,0,top
U4,ULN2003ADR,SOIC-16_3.9x9.9mm_P1.27mm,34.57,22.615,0,top
U5,CAT24C32,SOIC-8_3.9x4.9mm_P1.27mm,35.231,50.041,0,top
Y1,8MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,10.17,34.375,0,top
